From LGD,From LGD Code,To LGD,To LGD Code,No of Commuters
95NN - DOWN,95NN,95PP - FERMANAGH,95PP,6
95NN - DOWN,95NN,95QQ - LARNE,95QQ,72
95NN - DOWN,95NN,95RR - LIMAVADY,95RR,2
95NN - DOWN,95NN,95SS - LISBURN,95SS,1149
95NN - DOWN,95NN,95TT - MAGHERAFELT,95TT,16
95NN - DOWN,95NN,95UU - MOYLE,95UU,2
95NN - DOWN,95NN,95VV - NEWRY & MOURNE,95VV,796
95NN - DOWN,95NN,95WW - NEWTOWNABBEY,95WW,257
95NN - DOWN,95NN,95XX - NORTH DOWN,95XX,233
95NN - DOWN,95NN,95YY - OMAGH,95YY,3
